quality,force_ind,route,aggregation,mean_bpp,min_box_side_px,baseline_raw_objects,baseline_objects,compressed_raw_detections,compressed_detections,matched_objects,missed_objects,same_top1_objects,top1_changed_objects,end_to_end_top1_error_rate_percent,top3_exact_same_objects,top3_exact_changed_objects,end_to_end_top3_error_rate_percent
Q1,0,car,per_class,0.035644531,48,3474,913,2459,820,725,188,223,502,75.57502738,60,665,58.4154801
Q1,0,motorcycle,per_class,0.035644531,48,73,28,59,23,11,17,9,2,67.85714286,5,6,67.85714286
Q1,0,bicycle,per_class,0.035644531,48,1287,383,820,292,185,198,152,33,60.31331593,81,104,61.18363795
Q1,0,MACRO,all class average,0.035644531,48,4834,1324,3338,1135,921,403,384,537,67.91516206,146,775,62.4854203
Q2,1,car,per_class,0.071289063,48,3474,913,3015,888,807,106,323,484,64.62212486,110,697,48.01022271
Q2,1,motorcycle,per_class,0.071289063,48,73,28,47,19,14,14,13,1,53.57142857,8,6,57.14285714
Q2,1,bicycle,per_class,0.071289063,48,1287,383,964,329,243,140,211,32,44.90861619,120,123,47.78067885
Q2,1,MACRO,all class average,0.071289063,48,4834,1324,4026,1236,1064,260,547,517,54.36738987,238,826,50.978
Q3,2,car,per_class,0.106933594,48,3474,913,3105,911,825,88,361,464,60.46002191,146,679,44.0671778
Q3,2,motorcycle,per_class,0.106933594,48,73,28,49,19,12,16,10,2,64.28571429,7,5,63.095
Q3,2,bicycle,per_class,0.106933594,48,1287,383,947,328,252,131,225,27,41.25326371,132,120,45.16971279
Q3,2,MACRO,all class average,0.106933594,48,4834,1324,4101,1258,1089,235,596,493,55.33299997,285,804,50.77737623
Q4,3,car,per_class,0.142578125,48,3474,913,3194,905,829,84,356,473,61.00766703,133,696,42.497
Q4,3,motorcycle,per_class,0.142578125,48,73,28,56,24,18,10,11,7,60.71428571,9,9,46.42857143
Q4,3,bicycle,per_class,0.142578125,48,1287,383,976,319,249,134,226,23,40.9921671,123,126,46.30113142
Q4,3,MACRO,all class average,0.142578125,48,4834,1324,4226,1248,1096,228,593,503,54.23803995,265,831,45.07565487
Q5,4,car,per_class,0.178222656,48,3474,913,3244,923,841,72,385,456,57.8313253,156,685,40.74479737
Q5,4,motorcycle,per_class,0.178222656,48,73,28,61,22,19,9,11,8,60.71428571,16,3,35.71428571
Q5,4,bicycle,per_class,0.178222656,48,1287,383,1035,330,274,109,251,23,34.46475196,153,121,39.07745866
Q5,4,MACRO,all class average,0.178222656,48,4834,1324,4340,1275,1134,190,647,487,51.00345432,325,809,38.51218058
